How to convert a list of multiple integers into a single integer?	sum(d * 10 ** i for i, d in enumerate(x[::-1]))
How to convert a list of multiple integers into a single integer?	r = int(''.join(map(str, x)))
how to convert a datetime string back to datetime object?	datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')
Averaging the values in a dictionary based on the key	[(i, sum(j) / len(j)) for i, j in list(d.items())]
zip lists in python	zip([1, 2], [3, 4])
Prepend the same string to all items in a list	['hello{0}'.format(i) for i in a]
regex for repeating words in a string in Python	re.sub('(?<!\\S)((\\S+)(?:\\s+\\2))(?:\\s+\\2)+(?!\\S)', '\\1', s)
Normalizing a pandas DataFrame by row	df.div(df.sum(axis=1), axis=0)
swap values in a tuple/list inside a list in python?	map(lambda t: (t[1], t[0]), mylist)
swap values in a tuple/list inside a list in python?	[(t[1], t[0]) for t in mylist]
Find next sibling element in Python Selenium?	"driver.find_element_by_xpath(""//p[@id, 'one']/following-sibling::p"")"
Python splitting string by parentheses	"re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)"
What's the most memory efficient way to generate the combinations of a set in python?	print(list(itertools.combinations({1, 2, 3, 4}, 3)))
Add Multiple Columns to Pandas Dataframe from Function	df[['hour', 'weekday', 'weeknum']] = df.apply(lambdafunc, axis=1)
BeautifulSoup - search by text inside a tag	soup.find_all('a', string='Elsie')
How do I turn a python datetime into a string, with readable format date?	my_datetime.strftime('%B %d, %Y')
Parse string to int when string contains a number + extra characters	int(''.join(c for c in s if c.isdigit()))
adding new key inside a new key and assigning value in python dictionary	dic['Test'].update({'class': {'section': 5}})
Transforming the string representation of a dictionary into a real dictionary	dict(map(int, x.split(':')) for x in s.split(','))
How to select element with Selenium Python xpath	"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")"
Find matching rows in 2 dimensional numpy array	np.where((vals == (0, 1)).all(axis=1))
How to delete a record in Django models?	SomeModel.objects.filter(id=id).delete()
python convert list to dictionary	dict([['two', 2], ['one', 1]])
python convert list to dictionary	dict(zip(l[::2], l[1::2]))
how to set global const variables in python	GRAVITY = 9.8
"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M"""	re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')
"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M"""	re.findall('([0-9]+|[A-Z])', '20M10000N80M')
"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M"""	re.findall('([0-9]+)([A-Z])', '20M10000N80M')
Extracting words from a string, removing punctuation and returning a list with separated words in Python	re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')
